question,answer,result1,result2,result3,answers
여행할  때 선호하는 교통 수단은 무엇인가요?,a,모험가형,문화 예술형,,a
여행할  때 선호하는 교통 수단은 무엇인가요?,b,자유 여행형,,,b
여행할  때 선호하는 교통 수단은 무엇인가요?,c,휴양형,,,c
여행할  때 선호하는 교통 수단은 무엇인가요?,d,자유 여행형,,,d
여행할 때 나는 어떤 종류의 경험을 선호하나요?,a,자유 여행형,,,a
여행할 때 나는 어떤 종류의 경험을 선호하나요?,b,휴양형,,,b
여행할 때 나는 어떤 종류의 경험을 선호하나요?,c,문화 체험형,,,c
여행할 때 나는 어떤 종류의 경험을 선호하나요?,d,문화 체험형,문화 예술형,,d
여행 중 나는 어떤 종류의 음식을 선호하나요?,a,자유 여행형,문화 체험형,음식 여행형,a
여행 중 나는 어떤 종류의 음식을 선호하나요?,b,휴양형,,,b
여행 중 나는 어떤 종류의 음식을 선호하나요?,c,문화 예술형,,,c
여행 중 나는 어떤 종류의 음식을 선호하나요?,d,자유 여행형,,,d
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,a,휴양형,,,a
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,b,문화 체험형,문화 예술형,,b
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,c,음식 여행형,,,c
여행지를 선택할 때 가장 중요한 것은 무엇인가요?,d,모험가형,자유 여행형,,d
여행을 할 때 가장 선호하는 계절은 무엇인가요?,a,휴양형,자유 여행형,,a
여행을 할 때 가장 선호하는 계절은 무엇인가요?,b,모험가형,,,b
여행을 할 때 가장 선호하는 계절은 무엇인가요?,c,휴양형,자유 여행형,,c
여행을 할 때 가장 선호하는 계절은 무엇인가요?,d,모험가형,,,d
여행지를 선택할 때 어떤 것을 가장 고려하나요?,a,자유 여행형,,,a
여행지를 선택할 때 어떤 것을 가장 고려하나요?,b,자유 여행형,,,b
여행지를 선택할 때 어떤 것을 가장 고려하나요?,c,문화 예술형,,,c
여행지를 선택할 때 어떤 것을 가장 고려하나요?,d,문화 체험형,,,d
여행할 때 선호하는 숙박 시설은 무엇인가요?,a,휴양형,,,a
여행할 때 선호하는 숙박 시설은 무엇인가요?,b,자유 여행형,,,b
여행할 때 선호하는 숙박 시설은 무엇인가요?,c,문화 체험형,음식 여행형,,c
여행할 때 선호하는 숙박 시설은 무엇인가요?,d,모험가형,,,d
여행중에 가장 좋아하는 활동은?,a,모험가형,,,a
여행중에 가장 좋아하는 활동은?,b,문화 체험형,,,b
여행중에 가장 좋아하는 활동은?,c,자유형,음식 여행형,,c
여행중에 가장 좋아하는 활동은?,d,문화 예술형,,,d
